model-no,size,wattage,price
CU-350-500,350х500 мм,531,"34,490"
CU-350-750,350х750 мм,1038,"44,660"
CU-350-1000,350х1000 мм,1520,"53,950"
CU-450-500,450х500 мм,557,"38,820"
CU-450-750,450х750 мм,1090,"47,920"
CU-450-1000,450х1000 мм,1599,"57,230"
CU-550-500,550х500 мм,614,"43,740"
CU-550-750,550х750 мм,1190,"54,220"
CU-550-1000,550х1000 мм,1756,"64,870"
