model-no,size,wattage,price
CD-350-500,350х500 мм,531,"35,910"
CD-350-750,350х750 мм,1038,"50,460"
CD-350-1000,350х1000 мм,1520,"61,610"
CD-450-500,450х500 мм,557,"43,440"
CD-450-750,450х750 мм,1090,"54,380"
CD-450-1000,450х1000 мм,1599,"65,550"
CD-550-500,550х500 мм,614,"49,350"
CD-550-750,550х750 мм,1190,"61,920"
CD-550-1000,550х1000 мм,1756,"75,060"
