model-no,size,wattage,price
CAN-350-500,350х500 мм,531,"49,380"
CAN-350-750,350х750 мм,1038,"58,690"
CAN-350-1000,350х1000 мм,1520,"64,780"
CAN-450-500,450х500 мм,557,"52,760"
CAN-450-750,450х750 мм,1090,"59,890"
CAN-450-1000,450х1000 мм,1599,"68,340"
