model-no,size,wattage,price
CU-350-500,350х500 мм,531,"36,220"
CU-350-750,350х750 мм,1038,"46,900"
CU-350-1000,350х1000 мм,1520,"56,650"
CU-450-500,450х500 мм,557,"40,770"
CU-450-750,450х750 мм,1090,"50,320"
CU-450-1000,450х1000 мм,1599,"60,100"
CU-550-500,550х500 мм,614,"45,930"
CU-550-750,550х750 мм,1190,"56,940"
CU-550-1000,550х1000 мм,1756,"68,120"
