model-no,size,wattage,price
CP-350-500,350х500 мм,531,"29,390"
CP-350-750,350х750 мм,1038,"41,820"
CP-350-1000,350х1000 мм,1520,"50,620"
CP-450-500,450х500 мм,557,"34,790"
CP-450-750,450х750 мм,1090,"43,380"
CP-450-1000,450х1000 мм,1599,"52,190"
CP-550-500,550х500 мм,614,"38,370"
CP-550-750,550х750 мм,1190,"48,580"
CP-550-1000,550х1000 мм,1756,"59,380"
